<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Maghemite	Multiple Oxides	S	3	4.2	0.4		0.02		52		1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Maghemite	Multiple Oxides	S	3	4.2	0.48		0.02		53		2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Wuestite	Simple Oxides	S	2	295	0.95		0.44				1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Wuestite	Simple Oxides	S	2	295	0.9		0.79				2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Green Rust -SO4	Hydroxides and Oxides containing hydroxyl	S	2	15	1.3		2.8				1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Green Rust -SO4	Hydroxides and Oxides containing hydroxyl	S	3	15	0.5		0.4				2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Fe(OH)2		S	2	300	1.05		2.98				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Fe(OH)2		S	2	4.2	1.4		3.06		20		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Nanomagnetite	Multiple Oxides	S	3	140	0.37		0		49.4		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Nanomagnetite	Multiple Oxides	S	2.5	140	0.75		-0.01		47.2		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Nanomagnetite Oxidized	Multiple Oxides	S	3	140	0.35		-0.01		49.3		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Nanomagnetite Oxidized	Multiple Oxides	S	2.5	140	0.79		0.02		47.5		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Reduced	Multiple Oxides	S	3	140	0.35		-0.01		49.3		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Reduced	Multiple Oxides	S	2.5	140	0.76		0.01		47.2		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite	Multiple Oxides	S	3	140	0.36		0		50.1		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite	Multiple Oxides	S	2.5	140	0.76		0		47.8		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Oxidized	Multiple Oxides	S	3	140	0.37		0.01		50.1		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Oxidized	Multiple Oxides	S	2.5	140	0.75		0		47.8		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Reduced	Multiple Oxides	S	3	140	0.36		0.01		50.1		1<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Micromagnetite Reduced	Multiple Oxides	S	2.5	140	0.75		0		47.8		2<sub>(2)</sub>	VBF	<a href="https://www.nature.com/articles/srep30969" target="_blank">Byrne et al. 2016</a>
Pyrite		E	2	295	0.36		0.54					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Jarosite		E		295	0.38		1.31					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E	3	295	0.39		-0.25		19.2			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E	3	295	0.38		-0.21		47.9			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Pyrite		E	2	77	0.45		0.51					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Jarosite		E		77	0.47		1.32					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E	3	77	0.48		-0.21		48.6			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E	3	77	0.48		-0.17		53			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Pyrite		E		5	0.46		0.55					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Jarosite		E		5	0.48		1.71					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E		5	0.49		-0.21		50.4			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E		5	0.49		0.16		53.7			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Pyrite+superparamagnetic hematite		E		295	0.36		0.62					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Poorly ordered hematite		E		295	0.26		-0.14		37.4			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E		295	0.38		-0.21		47.1			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Pyrite+superparamagentic hematite		E		77	0.45		0.69					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E		77	0.51		-0.18		51.8			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Pyrite		E		5	0.46		0.55					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Jarosite		E		5	0.51		1.9					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Hematite		E		5	0.49		-0.17		53.1			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	295	0.36		0.97					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	295	1.29		2.29					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	77	0.46		0.96					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	77	1.22		3.05					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E		77	0.48		-0.24		49.6			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	5	0.45		0.95					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	5	1.38		2.52					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E		5	0.46		-0.29		49.4			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	295	0.45		0.93					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	295	1.29		2.22					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E		295	0.38		0		30.1			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	77	0.47		0.98					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	77	1.16		3.03					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	3	5	0.48		1.39					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Lake Sediment		E	2	5	1.3		2.5					VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Goethite		E		5	0.33		-0.25		48			VBF	<a href="http://europepmc.org/abstract/MED/27258848" target="_blank">Ruecker et al. 2016</a>
Siderite		B		140	1.34		2.15					VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		B		140	0.36		0.01		49.2		1<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		B		140	0.74		-0.04		46.9		2<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.36		0.01		49.4		1<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.74		-0.03		47		2<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.39		0.06		47.4		1<sub>(3)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.7		-0.13		44.4		2<sub>(3)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.38		0.24		35.4		3<sub>(3)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.37		0		50.3		1<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Magnetite		S		140	0.73		-0.03		47.8		2<sub>(2)</sub>	VBF	<a href="https://geochemicaltransactions.springeropen.com/articles/10.1186/s12932-017-0044-1" target="_blank">Sundman et al. 2017</a>
Muscovite	Phyllosilicate	U	2	295	1.18	0.02	3	0.02			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Muscovite	Phyllosilicate	U	2	295	1.14	0.01	2.13	0.02			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Muscovite	Phyllosilicate	U	3	295	0.4	0.1	0.89	0.02			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Muscovite	Phyllosilicate	U	3	295	0.38	0.05	0.49	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phengite	Phyllosilicate	U	2	295	1.14	0.05	2.98	0.025			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phengite	Phyllosilicate	U	2	295	1.13	0.05	2.23	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phengite	Phyllosilicate	U	3	295	0.36	0.05	0.73	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Glauconite	Phyllosilicate	U	2	295	1.15	0.04	2.68	0.06			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Glauconite	Phyllosilicate	U	2	295	1.14	0.03	1.79	0.06			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Glauconite	Phyllosilicate	U	3	295	0.32	0.04	0.78	0.04			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Glauconite	Phyllosilicate	U	3	295	0.34	0.02	0.38	0.02			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Celadonite	Phyllosilicate	U	2	295	1.13	0.05	2.64	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Celadonite	Phyllosilicate	U	2	295	1.11	0.05	1.88	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Celadonite	Phyllosilicate	U	3	295	0.36	0.05	0.73	0.05			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Celadonite	Phyllosilicate	U	3	295	0.37	0.05	0.41	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Biotite	Phyllosilicate	U	2	295	1.14	0.01	2.6	0.02			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Biotite	Phyllosilicate	U	2	295	1.08	0.02	2.13	0.03			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Biotite	Phyllosilicate	U	3	295	0.43	0.03	0.81	0.06			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Biotite	Phyllosilicate	U	3	295	0.46	0.03	0.47	0.04			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phlogopite	Phyllosilicate	U	2	295	1.16	0.06	2.64	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phlogopite	Phyllosilicate	U	2	295	1.09	0.06	2.13	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phlogopite	Phyllosilicate	U	3	295	0.47	0.11	0.32	0.08			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Phlogopite	Phyllosilicate	U	3	295	0.35	0.11	0.42	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lepidomelane	Phyllosilicate	U	2	295	1.19	0.05	2.63	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lepidomelane	Phyllosilicate	U	2	295	1.17	0.07	2.26	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lepidomelane	Phyllosilicate	U	3	295	0.44	0.05	0.83	0.05			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lepidomelane	Phyllosilicate	U	3	295	0.31	0.05	0.35	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Siderophyllite	Phyllosilicate	U	2	295	1.15	0.05	2.54	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Siderophyllite	Phyllosilicate	U	3	295	0.34	0.05	0.33	0			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Zinnwaldite	Phyllosilicate	U	2	295	1.16	0.04	2.82	0.04			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Zinnwaldite	Phyllosilicate	U	2	295	1.15	0.05	2.54	0.08			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Zinnwaldite	Phyllosilicate	U	3	295	0.39	0.05	0.88	0.05			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Leiodolite	Phyllosilicate	U	2	295	1.18	0.05	2.83	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Leiodolite	Phyllosilicate	U	2	295	1.17	0.05	2.54	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Leiodolite	Phyllosilicate	U	3	295	0.25	0.03	0.35	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chlorite	Phyllosilicate	U	2	295	1.14	0.02	2.67	0.02			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chlorite	Phyllosilicate	U	2	295	1.16	0.05	2.4	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chlorite	Phyllosilicate	U	3	295	0.3	0.05	0.76	0.05			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chlorite	Phyllosilicate	U	3	295	0.22	0.03	0.41	0.1			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Leptochlorite	Phyllosilicate	U	2	295	1.16	0.05	2.68	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Leptochlorite	Phyllosilicate	U	3	295	0.44	0.05	0.8	0			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Ripidolite	Phyllosilicate	U	2	295	1.13	0.05	2.68	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Ripidolite	Phyllosilicate	U	3	295	0.39	0.05	0.58	0			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chamosite	Phyllosilicate	U	2	295	1.13	0.05	2.71	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chamosite	Phyllosilicate	U	2	295	1.13	0.05	2.44	0.09			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chamosite	Phyllosilicate	U	3	295	0.26	0.05	0.9	0			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Greenalite	Phyllosilicate	U	2	295	1.16	0.05	2.75	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Greenalite	Phyllosilicate	U	3	295	0.41	0.05	0.79	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Greenalite	Phyllosilicate	U	3	295	0.32	0.07	0.56	0			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Berthlerine	Phyllosilicate	U	2	295	1.13	0.05	2.58	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Berthlerine	Phyllosilicate	U	2	295	1.22	0.05	2.25	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Berthlerine	Phyllosilicate	U	3	295	0.32	0.06	0.77	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Amesite	Phyllosilicate	U	2	295	1.14	0.05	2.58	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Amesite	Phyllosilicate	U	3	295	0.36	0.05	0.9	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Amesite	Phyllosilicate	U	3	295	0.36	0.05	0.5	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Cronstodtite	Phyllosilicate	U	2	295	1.21	0.05	2.04	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Cronstodtite	Phyllosilicate	U	3	295	0.41	0.05	0.8	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chrysotile	Phyllosilicate	U	2	295	1.17	0.03	2.7	0.06			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chrysotile	Phyllosilicate	U	3	295	0.36	0.05	0.75	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Chrysotile	Phyllosilicate	U	3	295	0.21	0.05	0.35	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lizardite	Phyllosilicate	U	2	295	1.15	0.05	2.76	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lizardite	Phyllosilicate	U	2	295	1.12	0.05	2.04	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lizardite	Phyllosilicate	U	3	295	0.38	0.05	0.6	0.1			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Lizardite	Phyllosilicate	U	3	295	0.25	0.05	0.32	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Serpentine	Phyllosilicate	U	2	295	1.16	0.05	2.76	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Serpentine	Phyllosilicate	U	3	295	0.4	0.05	0.78	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Serpentine	Phyllosilicate	U	3	295	0.32	0.05	0.4	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Antigorite	Phyllosilicate	U	2	295	1.15	0.05	2.73	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Antigorite	Phyllosilicate	U	3	295	0.38	0.05	0.75	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
